City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
292,hamilton,39.18,-84.53,75.0,100,1,4.7,US,1593572579
293,plouzane,48.38,-4.62,59.0,93,90,10.29,FR,1593572676
294,alofi,-19.06,-169.92,82.4,83,75,10.29,NU,1593572677
295,north platte,41.12,-100.77,75.2,36,1,5.82,US,1593572677
296,nome,64.5,-165.41,48.2,87,90,10.29,US,1593572678
297,canada,38.68,-0.81,71.01,75,0,1.01,ES,1593572656
298,northam,51.03,-4.22,57.99,96,98,4.0,GB,1593572679
299,boguchany,58.38,97.45,78.73,45,12,5.64,RU,1593572679
300,airai,-8.93,125.41,70.9,57,7,4.21,TL,1593572680
301,amapa,1.0,-52.0,71.4,98,9,0.87,BR,1593572680
302,bati,11.18,40.02,72.0,45,100,4.54,ET,1593572681
303,mangaluru,12.87,74.88,77.0,94,75,3.36,IN,1593572681
304,san cristobal,7.77,-72.22,65.64,83,15,2.26,VE,1593572398
305,saint anthony,45.02,-93.22,82.99,65,1,8.05,US,1593572409
306,verkhnyaya inta,65.98,60.31,50.07,64,100,11.54,RU,1593572683
307,minna,9.61,6.56,75.2,94,20,4.7,NG,1593572684
308,nishihara,26.18,127.76,86.0,79,90,26.4,JP,1593572684
309,kutulik,53.35,102.78,78.58,53,57,0.6,RU,1593572685
310,bowen,-20.02,148.23,77.0,60,0,19.46,AU,1593572685
311,sao filipe,14.9,-24.5,73.33,78,17,3.53,CV,1593572686
312,ribeira brava,32.65,-17.07,71.6,64,40,10.29,PT,1593572686
313,bandarbeyla,9.49,50.81,83.03,61,84,31.65,SO,1593572687
314,roma,43.21,-75.46,66.2,88,75,2.39,US,1593572559
315,hualmay,-11.1,-77.61,60.03,83,63,8.63,PE,1593572689
316,kaitangata,-46.28,169.85,46.0,67,100,11.01,NZ,1593572689
317,hervey bay,-25.3,152.85,71.01,65,3,5.01,AU,1593572690
318,bjornevatn,69.67,29.98,44.6,100,90,16.11,NO,1593572690
319,alibag,18.64,72.88,84.2,83,75,8.05,IN,1593572691
320,wasilla,61.58,-149.44,68.0,37,1,4.7,US,1593572691
321,faanui,-16.48,-151.75,77.92,75,12,24.67,PF,1593572692
322,sur,22.57,59.53,83.3,76,57,12.68,OM,1593572692
323,katsuura,35.13,140.3,79.0,94,75,19.46,JP,1593572693
324,paracale,14.28,122.79,90.25,55,100,2.8,PH,1593572693
325,paso de los toros,-32.82,-56.52,49.71,86,100,29.73,UY,1593572627
326,garbolovo,60.34,30.5,60.01,73,90,12.5,RU,1593572694
327,nador,35.17,-2.93,75.2,73,8,5.82,MA,1593572695
328,carovigno,40.71,17.66,78.01,64,0,2.24,IT,1593572696
329,wanning,18.8,110.4,85.73,72,100,6.91,CN,1593572696
330,ust-omchug,61.15,149.63,58.91,35,65,14.7,RU,1593572697
331,lumeje,-11.55,20.78,54.45,58,8,5.48,AO,1593572697
332,fare,-16.7,-151.02,78.76,71,3,23.04,PF,1593572698
333,luderitz,-26.65,15.16,60.8,23,0,5.82,NA,1593572698
334,mangan,27.52,88.53,82.35,53,66,2.37,IN,1593572699
335,miquelon,47.1,-56.38,57.16,99,100,14.81,PM,1593572699
336,anadyr,64.75,177.48,44.6,93,75,2.24,RU,1593572700
337,ixtapa,20.7,-105.2,84.2,74,75,6.93,MX,1593572700
338,college,64.86,-147.8,55.0,66,75,5.82,US,1593572701
339,marondera,-18.19,31.55,44.91,94,61,12.17,ZW,1593572701
340,chaman,30.92,66.45,86.52,28,0,4.0,PK,1593572702
341,vanimo,-2.67,141.3,85.12,63,100,4.03,PG,1593572702
342,kostomuksha,64.57,30.58,50.92,89,100,19.15,RU,1593572703
343,xapuri,-10.65,-68.5,73.17,76,85,1.86,BR,1593572703
344,pareora,-44.49,171.21,48.0,48,99,8.99,NZ,1593572704
345,aasiaat,68.71,-52.87,37.26,80,100,2.15,GL,1593572705
346,kiama,-34.68,150.87,71.01,58,31,5.99,AU,1593572705
347,chimore,-16.98,-65.13,73.51,82,96,1.48,BO,1593572706
348,heze,35.24,115.44,86.92,37,69,7.09,CN,1593572706
349,pacific grove,36.62,-121.92,61.0,82,90,9.17,US,1593572540
350,andenes,69.31,16.12,44.6,81,100,14.99,NO,1593572584
351,la ronge,55.1,-105.28,57.2,93,90,10.29,CA,1593572708
352,kloulklubed,7.04,134.26,84.2,74,75,6.93,PW,1593572708
353,gravdal,68.12,13.5,45.59,85,79,16.93,NO,1593572584
354,bell ville,-32.63,-62.69,46.0,93,66,8.01,AR,1593572709
355,tecoanapa,16.52,-98.75,83.07,67,100,1.36,MX,1593572710
356,nurobod,40.91,69.8,80.6,34,4,6.93,UZ,1593572710
357,corridonia,43.25,13.51,75.99,74,0,1.01,IT,1593572711
358,jizan,17.33,42.67,89.6,62,92,6.93,SA,1593572711
359,huarmey,-10.07,-78.15,60.57,85,57,7.94,PE,1593572712
360,salou,41.08,1.14,72.0,94,6,1.12,ES,1593572712
361,oussouye,12.48,-16.55,77.0,94,66,4.7,SN,1593572713
362,malinovoye ozero,51.68,79.78,77.43,38,100,10.02,RU,1593572713
363,tagusao,9.19,117.81,86.49,67,5,3.58,PH,1593572714
364,west wendover,40.74,-114.07,73.4,25,1,12.75,US,1593572714
365,baruun-urt,46.68,113.28,69.84,55,91,7.36,MN,1593572715
366,ilave,-16.08,-69.67,29.46,82,0,2.48,PE,1593572716
367,bulgan,48.81,103.53,69.21,55,0,10.69,MN,1593572716
368,muisne,0.6,-80.03,74.88,88,93,9.15,EC,1593572717
369,tonj,7.27,28.68,69.64,91,65,4.47,SS,1593572717
370,khani,41.96,42.96,68.0,82,75,2.24,GE,1593572718
371,vao,-22.67,167.48,67.73,68,10,18.25,NC,1593572718
372,chuy,-33.7,-53.46,56.14,92,100,12.57,UY,1593572719
373,monrovia,6.3,-10.8,75.2,94,75,7.94,LR,1593572523
374,muravlenko,63.79,74.52,54.21,70,46,5.88,RU,1593572720
375,killarney,52.05,-9.52,50.81,91,99,2.13,IE,1593572720
376,coxim,-18.51,-54.76,77.9,47,100,3.29,BR,1593572721
377,spornoye,50.84,37.29,66.2,93,75,8.95,RU,1593572722
378,ewa beach,21.32,-158.01,87.8,55,1,11.41,US,1593572722
379,acapulco,16.86,-99.89,84.2,74,40,4.7,MX,1593572723
380,tuatapere,-46.13,167.68,39.0,83,98,3.0,NZ,1593572723
381,north myrtle beach,33.82,-78.68,73.99,100,1,3.44,US,1593572593
382,tiksi,71.69,128.87,51.93,54,97,10.27,RU,1593572724
